axis	row	side	outcome	observation
A	form|yaml|rules.complexity.ccn.callable|list	value	refused-framed	Option "0" is not an option of rule "complexity.ccn" at level "callable". Options at that level: enabled, error, threshold, warning. Other levels of this rule take different options.
A	form|yaml|rules.complexity.ccn.callable|map	value	refused-framed	Option "a" is not an option of rule "complexity.ccn" at level "callable". Options at that level: enabled, error, threshold, warning. Other levels of this rule take different options.
A	form|yaml|rules.complexity.ccn.callable|null	value	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ComplexityOptions","callable":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\MethodComplexityOptions","enabled":true,"warning":10,"error":20},"class":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ClassComplexityOptions","enabled":true,"maxWarning":30,"maxError":50}},"excluded":{"namespace":false,"path":false}}
A	form|yaml|rules.complexity.ccn.callable|string-nonnumber	value	refused-framed	Level "callable" of rule "complexity.ccn" takes a map of options, got string.
A	form|yaml|rules.complexity.ccn.callable|string-number	value	refused-framed	Level "callable" of rule "complexity.ccn" takes a map of options, got string.
A	form|yaml|rules.complexity.ccn.class	equivalent	refused-framed	Option "a" is not an option of rule "complexity.ccn" at level "class". Options at that level: enabled, max-error, max-warning, threshold. Other levels of this rule take different options.
A	form|yaml|rules.complexity.ccn.class	omitted	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ComplexityOptions","callable":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\MethodComplexityOptions","enabled":true,"warning":10,"error":20},"class":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ClassComplexityOptions","enabled":true,"maxWarning":30,"maxError":50}},"excluded":{"namespace":false,"path":false}}
A	form|yaml|rules.complexity.ccn.class.enabled	equivalent	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ComplexityOptions","callable":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\MethodComplexityOptions","enabled":true,"warning":10,"error":20},"class":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ClassComplexityOptions","enabled":true,"maxWarning":30,"maxError":50}},"excluded":{"namespace":false,"path":false}}
A	form|yaml|rules.complexity.ccn.class.enabled	omitted	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ComplexityOptions","callable":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\MethodComplexityOptions","enabled":true,"warning":10,"error":20},"class":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ClassComplexityOptions","enabled":true,"maxWarning":30,"maxError":50}},"excluded":{"namespace":false,"path":false}}
A	form|yaml|rules.complexity.ccn.class.enabled|bool	value	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ComplexityOptions","callable":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\MethodComplexityOptions","enabled":true,"warning":10,"error":20},"class":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ClassComplexityOptions","enabled":true,"maxWarning":30,"maxError":50}},"excluded":{"namespace":false,"path":false}}
A	form|yaml|rules.complexity.ccn.class.enabled|float	value	refused-framed	Option "enabled" of rule "complexity.ccn" at level "class" must be a boolean or null, got a number.
A	form|yaml|rules.complexity.ccn.class.enabled|int	value	refused-framed	Option "enabled" of rule "complexity.ccn" at level "class" must be a boolean or null, got a whole number.
A	form|yaml|rules.complexity.ccn.class.enabled|list	value	refused-framed	Option "enabled" of rule "complexity.ccn" at level "class" must be a boolean or null, got a list.
A	form|yaml|rules.complexity.ccn.class.enabled|map	value	refused-framed	Option "enabled" of rule "complexity.ccn" at level "class" must be a boolean or null, got a map.
A	form|yaml|rules.complexity.ccn.class.enabled|null	value	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ComplexityOptions","callable":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\MethodComplexityOptions","enabled":true,"warning":10,"error":20},"class":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ClassComplexityOptions","enabled":true,"maxWarning":30,"maxError":50}},"excluded":{"namespace":false,"path":false}}
A	form|yaml|rules.complexity.ccn.class.enabled|string-nonnumber	value	refused-framed	Option "enabled" of rule "complexity.ccn" at level "class" must be a boolean or null, got a string.
A	form|yaml|rules.complexity.ccn.class.enabled|string-number	value	refused-framed	Option "enabled" of rule "complexity.ccn" at level "class" must be a boolean or null, got a string.
A	form|yaml|rules.complexity.ccn.class.max-error	equivalent	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ComplexityOptions","callable":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\MethodComplexityOptions","enabled":true,"warning":10,"error":20},"class":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ClassComplexityOptions","enabled":true,"maxWarning":30,"maxError":7331}},"excluded":{"namespace":false,"path":false}}
A	form|yaml|rules.complexity.ccn.class.max-error	omitted	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ComplexityOptions","callable":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\MethodComplexityOptions","enabled":true,"warning":10,"error":20},"class":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ClassComplexityOptions","enabled":true,"maxWarning":30,"maxError":50}},"excluded":{"namespace":false,"path":false}}
A	form|yaml|rules.complexity.ccn.class.max-error|bool	value	refused-framed	Option "maxError" of rule "complexity.ccn" at level "class" must be a whole number or null, got a boolean.
A	form|yaml|rules.complexity.ccn.class.max-error|float	value	refused-framed	Option "maxError" of rule "complexity.ccn" at level "class" must be a whole number or null, got a number.
A	form|yaml|rules.complexity.ccn.class.max-error|int	value	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ComplexityOptions","callable":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\MethodComplexityOptions","enabled":true,"warning":10,"error":20},"class":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ClassComplexityOptions","enabled":true,"maxWarning":30,"maxError":7331}},"excluded":{"namespace":false,"path":false}}
A	form|yaml|rules.complexity.ccn.class.max-error|list	value	refused-framed	Option "maxError" of rule "complexity.ccn" at level "class" must be a whole number or null, got a list.
A	form|yaml|rules.complexity.ccn.class.max-error|map	value	refused-framed	Option "maxError" of rule "complexity.ccn" at level "class" must be a whole number or null, got a map.
A	form|yaml|rules.complexity.ccn.class.max-error|null	value	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ComplexityOptions","callable":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\MethodComplexityOptions","enabled":true,"warning":10,"error":20},"class":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ClassComplexityOptions","enabled":true,"maxWarning":30,"maxError":50}},"excluded":{"namespace":false,"path":false}}
A	form|yaml|rules.complexity.ccn.class.max-error|string-nonnumber	value	refused-framed	Option "maxError" of rule "complexity.ccn" at level "class" must be a whole number or null, got a string.
A	form|yaml|rules.complexity.ccn.class.max-error|string-number	value	refused-framed	Option "maxError" of rule "complexity.ccn" at level "class" must be a whole number or null, got a string.
A	form|yaml|rules.complexity.ccn.class.max-warning	equivalent	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ComplexityOptions","callable":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\MethodComplexityOptions","enabled":true,"warning":10,"error":20},"class":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ClassComplexityOptions","enabled":true,"maxWarning":7331,"maxError":50}},"excluded":{"namespace":false,"path":false}}
A	form|yaml|rules.complexity.ccn.class.max-warning	omitted	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ComplexityOptions","callable":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\MethodComplexityOptions","enabled":true,"warning":10,"error":20},"class":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ClassComplexityOptions","enabled":true,"maxWarning":30,"maxError":50}},"excluded":{"namespace":false,"path":false}}
A	form|yaml|rules.complexity.ccn.class.max-warning|bool	value	refused-framed	Option "maxWarning" of rule "complexity.ccn" at level "class" must be a whole number or null, got a boolean.
A	form|yaml|rules.complexity.ccn.class.max-warning|float	value	refused-framed	Option "maxWarning" of rule "complexity.ccn" at level "class" must be a whole number or null, got a number.
A	form|yaml|rules.complexity.ccn.class.max-warning|int	value	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ComplexityOptions","callable":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\MethodComplexityOptions","enabled":true,"warning":10,"error":20},"class":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ClassComplexityOptions","enabled":true,"maxWarning":7331,"maxError":50}},"excluded":{"namespace":false,"path":false}}
A	form|yaml|rules.complexity.ccn.class.max-warning|list	value	refused-framed	Option "maxWarning" of rule "complexity.ccn" at level "class" must be a whole number or null, got a list.
A	form|yaml|rules.complexity.ccn.class.max-warning|map	value	refused-framed	Option "maxWarning" of rule "complexity.ccn" at level "class" must be a whole number or null, got a map.
A	form|yaml|rules.complexity.ccn.class.max-warning|null	value	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ComplexityOptions","callable":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\MethodComplexityOptions","enabled":true,"warning":10,"error":20},"class":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ClassComplexityOptions","enabled":true,"maxWarning":30,"maxError":50}},"excluded":{"namespace":false,"path":false}}
A	form|yaml|rules.complexity.ccn.class.max-warning|string-nonnumber	value	refused-framed	Option "maxWarning" of rule "complexity.ccn" at level "class" must be a whole number or null, got a string.
A	form|yaml|rules.complexity.ccn.class.max-warning|string-number	value	refused-framed	Option "maxWarning" of rule "complexity.ccn" at level "class" must be a whole number or null, got a string.
A	form|yaml|rules.complexity.ccn.class.threshold	equivalent	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ComplexityOptions","callable":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\MethodComplexityOptions","enabled":true,"warning":10,"error":20},"class":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ClassComplexityOptions","enabled":true,"maxWarning":7331,"maxError":7331}},"excluded":{"namespace":false,"path":false}}
A	form|yaml|rules.complexity.ccn.class.threshold	omitted	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ComplexityOptions","callable":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\MethodComplexityOptions","enabled":true,"warning":10,"error":20},"class":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ClassComplexityOptions","enabled":true,"maxWarning":30,"maxError":50}},"excluded":{"namespace":false,"path":false}}
A	form|yaml|rules.complexity.ccn.class.threshold|bool	value	refused-framed	Option "threshold" of rule "complexity.ccn" at level "class" must be a whole number or null, got a boolean.
A	form|yaml|rules.complexity.ccn.class.threshold|float	value	refused-framed	Option "threshold" of rule "complexity.ccn" at level "class" must be a whole number or null, got a number.
A	form|yaml|rules.complexity.ccn.class.threshold|int	value	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ComplexityOptions","callable":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\MethodComplexityOptions","enabled":true,"warning":10,"error":20},"class":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ClassComplexityOptions","enabled":true,"maxWarning":7331,"maxError":7331}},"excluded":{"namespace":false,"path":false}}
A	form|yaml|rules.complexity.ccn.class.threshold|list	value	refused-framed	Option "threshold" of rule "complexity.ccn" at level "class" must be a whole number or null, got a list.
A	form|yaml|rules.complexity.ccn.class.threshold|map	value	refused-framed	Option "threshold" of rule "complexity.ccn" at level "class" must be a whole number or null, got a map.
A	form|yaml|rules.complexity.ccn.class.threshold|null	value	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ComplexityOptions","callable":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\MethodComplexityOptions","enabled":true,"warning":10,"error":20},"class":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ClassComplexityOptions","enabled":true,"maxWarning":30,"maxError":50}},"excluded":{"namespace":false,"path":false}}
A	form|yaml|rules.complexity.ccn.class.threshold|string-nonnumber	value	refused-framed	Option "threshold" of rule "complexity.ccn" at level "class" must be a whole number or null, got a string.
A	form|yaml|rules.complexity.ccn.class.threshold|string-number	value	refused-framed	Option "threshold" of rule "complexity.ccn" at level "class" must be a whole number or null, got a string.
A	form|yaml|rules.complexity.ccn.class|bool	value	refused-framed	Level "class" of rule "complexity.ccn" takes a map of options, got bool.
A	form|yaml|rules.complexity.ccn.class|float	value	refused-framed	Level "class" of rule "complexity.ccn" takes a map of options, got float.
A	form|yaml|rules.complexity.ccn.class|int	value	refused-framed	Level "class" of rule "complexity.ccn" takes a map of options, got int.
A	form|yaml|rules.complexity.ccn.class|list	value	refused-framed	Option "0" is not an option of rule "complexity.ccn" at level "class". Options at that level: enabled, max-error, max-warning, threshold. Other levels of this rule take different options.
A	form|yaml|rules.complexity.ccn.class|map	value	refused-framed	Option "a" is not an option of rule "complexity.ccn" at level "class". Options at that level: enabled, max-error, max-warning, threshold. Other levels of this rule take different options.
A	form|yaml|rules.complexity.ccn.class|null	value	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ComplexityOptions","callable":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\MethodComplexityOptions","enabled":true,"warning":10,"error":20},"class":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ClassComplexityOptions","enabled":true,"maxWarning":30,"maxError":50}},"excluded":{"namespace":false,"path":false}}
A	form|yaml|rules.complexity.ccn.class|string-nonnumber	value	refused-framed	Level "class" of rule "complexity.ccn" takes a map of options, got string.
A	form|yaml|rules.complexity.ccn.class|string-number	value	refused-framed	Level "class" of rule "complexity.ccn" takes a map of options, got string.
A	form|yaml|rules.complexity.ccn.enabled	equivalent	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ComplexityOptions","callable":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\MethodComplexityOptions","enabled":true,"warning":10,"error":20},"class":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ClassComplexityOptions","enabled":true,"maxWarning":30,"maxError":50}},"excluded":{"namespace":false,"path":false}}
A	form|yaml|rules.complexity.ccn.enabled	omitted	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ComplexityOptions","callable":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\MethodComplexityOptions","enabled":true,"warning":10,"error":20},"class":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ClassComplexityOptions","enabled":true,"maxWarning":30,"maxError":50}},"excluded":{"namespace":false,"path":false}}
A	form|yaml|rules.complexity.ccn.enabled|bool	value	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ComplexityOptions","callable":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\MethodComplexityOptions","enabled":true,"warning":10,"error":20},"class":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ClassComplexityOptions","enabled":true,"maxWarning":30,"maxError":50}},"excluded":{"namespace":false,"path":false}}
A	form|yaml|rules.complexity.ccn.enabled|float	value	refused-framed	Option "enabled" of rule "complexity.ccn" must be a boolean or null, got a number.
A	form|yaml|rules.complexity.ccn.enabled|int	value	refused-framed	Option "enabled" of rule "complexity.ccn" must be a boolean or null, got a whole number.
A	form|yaml|rules.complexity.ccn.enabled|list	value	refused-framed	Option "enabled" of rule "complexity.ccn" must be a boolean or null, got a list.
A	form|yaml|rules.complexity.ccn.enabled|map	value	refused-framed	Option "enabled" of rule "complexity.ccn" must be a boolean or null, got a map.
A	form|yaml|rules.complexity.ccn.enabled|null	value	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ComplexityOptions","callable":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\MethodComplexityOptions","enabled":true,"warning":10,"error":20},"class":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ClassComplexityOptions","enabled":true,"maxWarning":30,"maxError":50}},"excluded":{"namespace":false,"path":false}}
A	form|yaml|rules.complexity.ccn.enabled|string-nonnumber	value	refused-framed	Option "enabled" of rule "complexity.ccn" must be a boolean or null, got a string.
A	form|yaml|rules.complexity.ccn.enabled|string-number	value	refused-framed	Option "enabled" of rule "complexity.ccn" must be a boolean or null, got a string.
A	form|yaml|rules.complexity.ccn.suppress-namespace-channels	equivalent	refused-framed	Option "suppress_namespace_channels.a" for rule "complexity.ccn" must be a non-empty list of strings
A	form|yaml|rules.complexity.ccn.suppress-namespace-channels	omitted	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ComplexityOptions","callable":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\MethodComplexityOptions","enabled":true,"warning":10,"error":20},"class":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ClassComplexityOptions","enabled":true,"maxWarning":30,"maxError":50}},"excluded":{"namespace":false,"path":false}}
A	form|yaml|rules.complexity.ccn.suppress-namespace-channels|bool	value	refused-framed	Option "suppress_namespace_channels" for rule "complexity.ccn" must be a non-empty channel map
A	form|yaml|rules.complexity.ccn.suppress-namespace-channels|float	value	refused-framed	Option "suppress_namespace_channels" for rule "complexity.ccn" must be a non-empty channel map
A	form|yaml|rules.complexity.ccn.suppress-namespace-channels|int	value	refused-framed	Option "suppress_namespace_channels" for rule "complexity.ccn" must be a non-empty channel map
A	form|yaml|rules.complexity.ccn.suppress-namespace-channels|list	value	refused-framed	Option "suppress_namespace_channels" for rule "complexity.ccn" must be a non-empty channel map
A	form|yaml|rules.complexity.ccn.suppress-namespace-channels|map	value	refused-framed	Option "suppress_namespace_channels.a" for rule "complexity.ccn" must be a non-empty list of strings
A	form|yaml|rules.complexity.ccn.suppress-namespace-channels|null	value	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ComplexityOptions","callable":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\MethodComplexityOptions","enabled":true,"warning":10,"error":20},"class":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ClassComplexityOptions","enabled":true,"maxWarning":30,"maxError":50}},"excluded":{"namespace":false,"path":false}}
A	form|yaml|rules.complexity.ccn.suppress-namespace-channels|string-nonnumber	value	refused-framed	Option "suppress_namespace_channels" for rule "complexity.ccn" must be a non-empty channel map
A	form|yaml|rules.complexity.ccn.suppress-namespace-channels|string-number	value	refused-framed	Option "suppress_namespace_channels" for rule "complexity.ccn" must be a non-empty channel map
A	form|yaml|rules.complexity.ccn.suppress-namespaces	equivalent	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ComplexityOptions","callable":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\MethodComplexityOptions","enabled":true,"warning":10,"error":20},"class":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ClassComplexityOptions","enabled":true,"maxWarning":30,"maxError":50}},"excluded":{"namespace":true,"path":false}}
A	form|yaml|rules.complexity.ccn.suppress-namespaces	omitted	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ComplexityOptions","callable":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\MethodComplexityOptions","enabled":true,"warning":10,"error":20},"class":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ClassComplexityOptions","enabled":true,"maxWarning":30,"maxError":50}},"excluded":{"namespace":false,"path":false}}
A	form|yaml|rules.complexity.ccn.suppress-namespaces|bool	value	refused-framed	Option "suppress_namespaces" for rule "complexity.ccn" must be a string or a list of strings; use "suppress_namespace_channels" for namespace-aggregate channel exclusions
A	form|yaml|rules.complexity.ccn.suppress-namespaces|float	value	refused-framed	Option "suppress_namespaces" for rule "complexity.ccn" must be a string or a list of strings; use "suppress_namespace_channels" for namespace-aggregate channel exclusions
A	form|yaml|rules.complexity.ccn.suppress-namespaces|int	value	refused-framed	Option "suppress_namespaces" for rule "complexity.ccn" must be a string or a list of strings; use "suppress_namespace_channels" for namespace-aggregate channel exclusions
A	form|yaml|rules.complexity.ccn.suppress-namespaces|list	value	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ComplexityOptions","callable":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\MethodComplexityOptions","enabled":true,"warning":10,"error":20},"class":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ClassComplexityOptions","enabled":true,"maxWarning":30,"maxError":50}},"excluded":{"namespace":true,"path":false}}
A	form|yaml|rules.complexity.ccn.suppress-namespaces|map	value	refused-framed	Option "suppress_namespaces" for rule "complexity.ccn" must be a string or a list of strings; use "suppress_namespace_channels" for namespace-aggregate channel exclusions
A	form|yaml|rules.complexity.ccn.suppress-namespaces|null	value	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ComplexityOptions","callable":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\MethodComplexityOptions","enabled":true,"warning":10,"error":20},"class":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ClassComplexityOptions","enabled":true,"maxWarning":30,"maxError":50}},"excluded":{"namespace":false,"path":false}}
A	form|yaml|rules.complexity.ccn.suppress-namespaces|string-nonnumber	value	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ComplexityOptions","callable":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\MethodComplexityOptions","enabled":true,"warning":10,"error":20},"class":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ClassComplexityOptions","enabled":true,"maxWarning":30,"maxError":50}},"excluded":{"namespace":false,"path":false}}
A	form|yaml|rules.complexity.ccn.suppress-namespaces|string-number	value	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ComplexityOptions","callable":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\MethodComplexityOptions","enabled":true,"warning":10,"error":20},"class":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ClassComplexityOptions","enabled":true,"maxWarning":30,"maxError":50}},"excluded":{"namespace":false,"path":false}}
A	form|yaml|rules.complexity.ccn.suppress-paths	equivalent	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ComplexityOptions","callable":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\MethodComplexityOptions","enabled":true,"warning":10,"error":20},"class":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ClassComplexityOptions","enabled":true,"maxWarning":30,"maxError":50}},"excluded":{"namespace":false,"path":true}}
A	form|yaml|rules.complexity.ccn.suppress-paths	omitted	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ComplexityOptions","callable":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\MethodComplexityOptions","enabled":true,"warning":10,"error":20},"class":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ClassComplexityOptions","enabled":true,"maxWarning":30,"maxError":50}},"excluded":{"namespace":false,"path":false}}
A	form|yaml|rules.complexity.ccn.suppress-paths|bool	value	refused-framed	Option "suppressPaths" of rule "complexity.ccn" must be a non-empty string or a list of non-empty strings or null, got a boolean.
A	form|yaml|rules.complexity.ccn.suppress-paths|float	value	refused-framed	Option "suppressPaths" of rule "complexity.ccn" must be a non-empty string or a list of non-empty strings or null, got a number.
A	form|yaml|rules.complexity.ccn.suppress-paths|int	value	refused-framed	Option "suppressPaths" of rule "complexity.ccn" must be a non-empty string or a list of non-empty strings or null, got a whole number.
A	form|yaml|rules.complexity.ccn.suppress-paths|list	value	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ComplexityOptions","callable":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\MethodComplexityOptions","enabled":true,"warning":10,"error":20},"class":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ClassComplexityOptions","enabled":true,"maxWarning":30,"maxError":50}},"excluded":{"namespace":false,"path":true}}
A	form|yaml|rules.complexity.ccn.suppress-paths|map	value	refused-framed	Option "suppressPaths" of rule "complexity.ccn" must be a non-empty string or a list of non-empty strings or null, got a map.
A	form|yaml|rules.complexity.ccn.suppress-paths|null	value	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ComplexityOptions","callable":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\MethodComplexityOptions","enabled":true,"warning":10,"error":20},"class":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ClassComplexityOptions","enabled":true,"maxWarning":30,"maxError":50}},"excluded":{"namespace":false,"path":false}}
A	form|yaml|rules.complexity.ccn.suppress-paths|string-nonnumber	value	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ComplexityOptions","callable":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\MethodComplexityOptions","enabled":true,"warning":10,"error":20},"class":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ClassComplexityOptions","enabled":true,"maxWarning":30,"maxError":50}},"excluded":{"namespace":false,"path":false}}
A	form|yaml|rules.complexity.ccn.suppress-paths|string-number	value	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ComplexityOptions","callable":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\MethodComplexityOptions","enabled":true,"warning":10,"error":20},"class":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ClassComplexityOptions","enabled":true,"maxWarning":30,"maxError":50}},"excluded":{"namespace":false,"path":false}}
A	form|yaml|rules.complexity.ccn.threshold	equivalent	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ComplexityOptions","callable":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\MethodComplexityOptions","enabled":true,"warning":7331,"error":7331},"class":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ClassComplexityOptions","enabled":false,"maxWarning":30,"maxError":50}},"excluded":{"namespace":false,"path":false}}
A	form|yaml|rules.complexity.ccn.threshold	omitted	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ComplexityOptions","callable":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\MethodComplexityOptions","enabled":true,"warning":10,"error":20},"class":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ClassComplexityOptions","enabled":true,"maxWarning":30,"maxError":50}},"excluded":{"namespace":false,"path":false}}
A	form|yaml|rules.complexity.ccn.threshold|bool	value	refused-framed	Option "threshold" of rule "complexity.ccn" must be a whole number or null, got a boolean.
A	form|yaml|rules.complexity.ccn.threshold|float	value	refused-framed	Option "threshold" of rule "complexity.ccn" must be a whole number or null, got a number.
A	form|yaml|rules.complexity.ccn.threshold|int	value	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ComplexityOptions","callable":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\MethodComplexityOptions","enabled":true,"warning":7331,"error":7331},"class":{"@":"Qualimetrix\\Analysis\\Evidence\\Complexity\\ClassComplexityOptions","enabled":false,"maxWarning":30,"maxError":50}},"excluded":{"namespace":false,"path":false}}
A	form|yaml|rules.complexity.ccn.threshold|list	value	refused-framed	Option "threshold" of rule "complexity.ccn" must be a whole number or null, got a list.
