surface	command	door	site	kind	referential	non_referential_reason	shadowed_by
config	debug:layer-assignment	architecture	layer-patterns	config-key	yes		
config	debug:layer-assignment	architecture	unknown-subkey	config-key	yes		
config	debug:layer-assignment	cache.dir	whole-value	config-key	yes		invariant:no-cache
config	debug:layer-assignment	cache.enabled	whole-value	config-key	no	boolean; nothing to point at	invariant:no-cache
config	debug:layer-assignment	computedMetrics	whole-value	config-key	yes		
config	debug:layer-assignment	coupling.frameworkNamespaces	whole-value	config-key	yes		
config	debug:layer-assignment	disabledRules	whole-value	config-key	yes		
config	debug:layer-assignment	exclude	whole-value	config-key	yes		
config	debug:layer-assignment	excludeHealth	whole-value	config-key	yes		
config	debug:layer-assignment	failOn	whole-value	config-key	yes		invariant:fail-on
config	debug:layer-assignment	format	whole-value	config-key	yes		invariant:format
config	debug:layer-assignment	includeGenerated	whole-value	config-key	no	boolean; nothing to point at	
config	debug:layer-assignment	memoryLimit	whole-value	config-key	no	PHP size string; nothing to point at	
config	debug:layer-assignment	onlyRules	whole-value	config-key	yes		
config	debug:layer-assignment	parallel.workers	whole-value	config-key	no	integer count; nothing to point at	invariant:workers
config	debug:layer-assignment	paths	whole-value	config-key	yes		invariant:target
config	debug:layer-assignment	rules	rule-suppress-pattern	config-key	yes		
config	debug:layer-assignment	suppressNamespaces	whole-value	config-key	yes		
config	debug:layer-assignment	suppressPaths	whole-value	config-key	yes		
config	directives	architecture	layer-exclude-patterns	config-key	yes		
config	directives	architecture	layer-patterns	config-key	yes		
config	directives	architecture	unknown-subkey	config-key	yes		
config	directives	cache.dir	whole-value	config-key	yes		invariant:no-cache
config	directives	cache.enabled	whole-value	config-key	no	boolean; nothing to point at	invariant:no-cache
config	directives	computedMetrics	whole-value	config-key	yes		
config	directives	coupling.frameworkNamespaces	whole-value	config-key	yes		
config	directives	disabledRules	whole-value	config-key	yes		
config	directives	exclude	whole-value	config-key	yes		
config	directives	excludeHealth	whole-value	config-key	yes		
config	directives	failOn	whole-value	config-key	yes		invariant:fail-on
config	directives	format	whole-value	config-key	yes		invariant:format
config	directives	includeGenerated	whole-value	config-key	no	boolean; nothing to point at	
config	directives	memoryLimit	whole-value	config-key	no	PHP size string; nothing to point at	
config	directives	onlyRules	whole-value	config-key	yes		
config	directives	parallel.workers	whole-value	config-key	no	integer count; nothing to point at	invariant:workers
config	directives	paths	whole-value	config-key	yes		invariant:target
config	directives	rules	rule-suppress-pattern	config-key	yes		
config	directives	suppressNamespaces	whole-value	config-key	yes		
config	directives	suppressPaths	whole-value	config-key	yes		
