idx	rule	top_form	top_yaml	level	block_form	block_yaml	level_keys_declared	level_defaults	live_exit	live_level_findings	live_level_severities	live_sibling_findings	live_refusal	call_level_values	call_level_enabled	call_sibling_enabled	call_refusal	block_written	block_effect	live_vs_block_absent	witness	in_declared_population
17	complexity.ccn	T0_none	(nothing)	class	B7_full_band	class:; max_warning: 1; max_error: 2	enabled,max-error,max-warning,threshold	{"enabled":true,"maxWarning":30,"maxError":50}	2	11	{"warning":10,"error":1}	1		{"enabled":true,"maxWarning":1,"maxError":2}	True	True		{"maxWarning":1,"maxError":2}	applied	differs (11 vs 0)	live door + call	yes
18	complexity.ccn	T0_none	(nothing)	class	B8_threshold_in_block	class:; threshold: 1	enabled,max-error,max-warning,threshold	{"enabled":true,"maxWarning":30,"maxError":50}	2	11	{"error":11}	1		{"enabled":true,"maxWarning":1,"maxError":1}	True	True		{"maxWarning":1,"maxError":1}	applied	differs (11 vs 0)	live door + call	yes
19	complexity.ccn	T0_none	(nothing)	class	B9_unknown_key	class:; no_such_option: 1	enabled,max-error,max-warning,threshold	{"enabled":true,"maxWarning":30,"maxError":50}	3	0	{}	0	Configuration error: Option "noSuchOption" is not an option of rule "complexity.ccn" at level "class". Options at that level: enabled, max-error, max-	{}			Qualimetrix\Analysis\Configuration\Contract\Refusal\ConfigurationRefusal: Option "noSuchOption" is not an option of rule "complexity.ccn" at level "cl	{"no_such_option":1}	refused	refused	live door (refusal) + call	yes
20	complexity.ccn	T1_threshold_value	threshold: 100000	callable	B0_absent	(absent)	enabled,error,threshold,warning	{"enabled":true,"warning":10,"error":20}	0	0	{}	0		{"enabled":true,"warning":100000,"error":100000}	True	False		{}	no-write	n/a (block writes nothing)	live door + call	yes
21	complexity.ccn	T1_threshold_value	threshold: 100000	callable	B1_tilde	callable: ~	enabled,error,threshold,warning	{"enabled":true,"warning":10,"error":20}	0	0	{}	0		{"enabled":true,"warning":100000,"error":100000}	True	False		{}	no-write	n/a (block writes nothing)	live door + call	yes
22	complexity.ccn	T1_threshold_value	threshold: 100000	callable	B2_empty_map	callable: {}	enabled,error,threshold,warning	{"enabled":true,"warning":10,"error":20}	0	0	{}	0		{"enabled":true,"warning":100000,"error":100000}	True	False		{}	no-write	n/a (block writes nothing)	live door + call	yes
23	complexity.ccn	T1_threshold_value	threshold: 100000	callable	B3_enabled_tilde	callable:; enabled: ~	enabled,error,threshold,warning	{"enabled":true,"warning":10,"error":20}	0	0	{}	0		{"enabled":true,"warning":100000,"error":100000}	True	False		{"enabled":"~(null)"}	applied	same (0)	live door (blind here) + call	yes
24	complexity.ccn	T1_threshold_value	threshold: 100000	callable	B4_enabled_true	callable:; enabled: true	enabled,error,threshold,warning	{"enabled":true,"warning":10,"error":20}	0	0	{}	0		{"enabled":true,"warning":100000,"error":100000}	True	False		{"enabled":true}	applied	same (0)	live door (blind here) + call	yes
25	complexity.ccn	T1_threshold_value	threshold: 100000	callable	B5_enabled_false	callable:; enabled: false	enabled,error,threshold,warning	{"enabled":true,"warning":10,"error":20}	0	0	{}	0		{"enabled":true,"warning":100000,"error":100000}	True	False		{"enabled":false}	dropped	same (0)	live door (blind here) + call	yes
26	complexity.ccn	T1_threshold_value	threshold: 100000	callable	B6_half_band	callable:; warning: 1	enabled,error,threshold,warning	{"enabled":true,"warning":10,"error":20}	0	0	{}	0		{"enabled":true,"warning":100000,"error":100000}	True	False		{"warning":1}	dropped	same (0)	live door (blind here) + call	yes
