consumer	consumer_owner	dependency	dependency_owner	dependency_visibility
Qualimetrix\Analysis\Configuration\Contract\ConfigurationDocument	Analysis.Configuration	Qualimetrix\Core\Path\AbsolutePath	Core.Path	contract
Qualimetrix\Analysis\Configuration\Contract\Pipeline\ConfigurationResolutionRequest	Analysis.Configuration	Qualimetrix\Core\Path\AbsolutePath	Core.Path	contract
Qualimetrix\Analysis\Configuration\SelectorYamlDecoder	Analysis.Configuration	Qualimetrix\Core\Pattern\NamespacePattern	Core.Neutral	contract
Qualimetrix\Analysis\Configuration\SelectorYamlDecoder	Analysis.Configuration	Qualimetrix\Core\Pattern\PathPattern	Core.Neutral	contract
Qualimetrix\Analysis\Configuration\SelectorYamlDecoder	Analysis.Configuration	Qualimetrix\Core\Pattern\SelectorDefinition	Core.Neutral	contract
Qualimetrix\Analysis\Evidence\CircularDependency\CircularDependencyAnalysis	Analysis.Evidence.CircularDependency	Qualimetrix\Analysis\Evidence\DependencyModel\Contract\DependencyGraphInterface	Analysis.Evidence.DependencyModel	contract
Qualimetrix\Analysis\Evidence\CircularDependency\CircularDependencyDetector	Analysis.Evidence.CircularDependency	Qualimetrix\Analysis\Evidence\DependencyModel\Contract\DependencyGraphInterface	Analysis.Evidence.DependencyModel	contract
Qualimetrix\Analysis\Evidence\CircularDependency\CircularDependencyDetector	Analysis.Evidence.CircularDependency	Qualimetrix\Core\Symbol\SymbolPath	Core.Symbol	contract
Qualimetrix\Analysis\Evidence\CircularDependency\CircularDependencyOptions	Analysis.Evidence.CircularDependency	Qualimetrix\Analysis\Finding\Contract\Rule\RuleOptionKey	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CircularDependency\CircularDependencyOptions	Analysis.Evidence.CircularDependency	Qualimetrix\Analysis\Finding\Contract\Rule\RuleOptionKeySet	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CircularDependency\CircularDependencyOptions	Analysis.Evidence.CircularDependency	Qualimetrix\Analysis\Finding\Contract\Rule\RuleOptionShape	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CircularDependency\CircularDependencyOptions	Analysis.Evidence.CircularDependency	Qualimetrix\Analysis\Finding\Contract\Rule\RuleOptionsInterface	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CircularDependency\CircularDependencyOptions	Analysis.Evidence.CircularDependency	Qualimetrix\Analysis\Finding\Contract\Severity	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CircularDependency\CircularDependencyRule	Analysis.Evidence.CircularDependency	Qualimetrix\Analysis\Finding\Contract\ChannelDeclaration	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CircularDependency\CircularDependencyRule	Analysis.Evidence.CircularDependency	Qualimetrix\Analysis\Finding\Contract\ChannelShape	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CircularDependency\CircularDependencyRule	Analysis.Evidence.CircularDependency	Qualimetrix\Analysis\Finding\Contract\Finding	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CircularDependency\CircularDependencyRule	Analysis.Evidence.CircularDependency	Qualimetrix\Analysis\Finding\Contract\Location	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CircularDependency\CircularDependencyRule	Analysis.Evidence.CircularDependency	Qualimetrix\Analysis\Finding\Contract\OccurrenceKey	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CircularDependency\CircularDependencyRule	Analysis.Evidence.CircularDependency	Qualimetrix\Analysis\Finding\Contract\Rule\AbstractRule	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CircularDependency\CircularDependencyRule	Analysis.Evidence.CircularDependency	Qualimetrix\Analysis\Finding\Contract\Rule\AnalysisContext	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CircularDependency\CircularDependencyRule	Analysis.Evidence.CircularDependency	Qualimetrix\Analysis\Finding\Contract\Rule\Attribute\CliAlias	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CircularDependency\CircularDependencyRule	Analysis.Evidence.CircularDependency	Qualimetrix\Analysis\Finding\Contract\Rule\RuleOptionsInterface	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CircularDependency\CircularDependencyRule	Analysis.Evidence.CircularDependency	Qualimetrix\Core\Observation\WorseDirection	Core.Neutral	contract
Qualimetrix\Analysis\Evidence\CircularDependency\CircularDependencyRule	Analysis.Evidence.CircularDependency	Qualimetrix\Core\Symbol\MetricSubject	Core.Symbol	contract
Qualimetrix\Analysis\Evidence\CircularDependency\CircularDependencyRule	Analysis.Evidence.CircularDependency	Qualimetrix\Core\Symbol\SymbolLevel	Core.Symbol	contract
Qualimetrix\Analysis\Evidence\CircularDependency\CircularDependencyRule	Analysis.Evidence.CircularDependency	Qualimetrix\Core\Symbol\SymbolPath	Core.Symbol	contract
Qualimetrix\Analysis\Evidence\CircularDependency\Contract\CircularDependencyPreparationInterface	Analysis.Evidence.CircularDependency	Qualimetrix\Analysis\Evidence\DependencyModel\Contract\DependencyGraphInterface	Analysis.Evidence.DependencyModel	contract
Qualimetrix\Analysis\Evidence\CircularDependency\Cycle	Analysis.Evidence.CircularDependency	Qualimetrix\Core\Symbol\SymbolPath	Core.Symbol	contract
Qualimetrix\Analysis\Evidence\CircularDependency\CycleMemberLabels	Analysis.Evidence.CircularDependency	Qualimetrix\Core\Symbol\SymbolPath	Core.Symbol	contract
Qualimetrix\Analysis\Evidence\CodeSmell\AbstractCodeSmellRule	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\ChannelDeclaration	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\AbstractCodeSmellRule	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\ChannelShape	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\AbstractCodeSmellRule	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Rule\AbstractRule	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\AbstractCodeSmellRule	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Rule\AnalysisContext	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\AbstractCodeSmellRule	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Severity	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\AbstractCodeSmellRule	Analysis.Evidence.CodeSmell	Qualimetrix\Core\Symbol\SymbolLevel	Core.Symbol	contract
Qualimetrix\Analysis\Evidence\CodeSmell\BooleanArgumentOptions	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Rule\RuleOptionKey	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\BooleanArgumentOptions	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Rule\RuleOptionKeySet	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\BooleanArgumentOptions	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Rule\RuleOptionShape	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\BooleanArgumentOptions	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Rule\RuleOptionsInterface	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\BooleanArgumentOptions	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Severity	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\BooleanArgumentRule	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Severity	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\CodeSmellCollector	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Evidence\Measurement\Contract\AbstractCollector	Analysis.Evidence.Measurement	contract
Qualimetrix\Analysis\Evidence\CodeSmell\CodeSmellCollector	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Evidence\Measurement\Contract\MetricBag	Analysis.Evidence.Measurement	contract
Qualimetrix\Analysis\Evidence\CodeSmell\CodeSmellFinding	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Finding	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\CodeSmellFinding	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Location	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\CodeSmellFinding	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\OccurrenceKey	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\CodeSmellFinding	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Severity	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\CodeSmellFinding	Analysis.Evidence.CodeSmell	Qualimetrix\Core\Path\RelativePath	Core.Path	contract
Qualimetrix\Analysis\Evidence\CodeSmell\CodeSmellFinding	Analysis.Evidence.CodeSmell	Qualimetrix\Core\Symbol\MetricSubject	Core.Symbol	contract
Qualimetrix\Analysis\Evidence\CodeSmell\CodeSmellFinding	Analysis.Evidence.CodeSmell	Qualimetrix\Core\Symbol\MetricSubjectCodec	Core.Symbol	contract
Qualimetrix\Analysis\Evidence\CodeSmell\CodeSmellFinding	Analysis.Evidence.CodeSmell	Qualimetrix\Core\Symbol\SymbolPath	Core.Symbol	contract
Qualimetrix\Analysis\Evidence\CodeSmell\CodeSmellOptions	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Rule\RuleOptionKey	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\CodeSmellOptions	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Rule\RuleOptionKeySet	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\CodeSmellOptions	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Rule\RuleOptionShape	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\CodeSmellOptions	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Rule\RuleOptionsInterface	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\CodeSmellOptions	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Severity	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\CodeSmellVisitor	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Evidence\Measurement\Contract\DeclarationIndexAwareInterface	Analysis.Evidence.Measurement	contract
Qualimetrix\Analysis\Evidence\CodeSmell\CodeSmellVisitor	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Evidence\Measurement\Contract\ResettableVisitorInterface	Analysis.Evidence.Measurement	contract
Qualimetrix\Analysis\Evidence\CodeSmell\CodeSmellVisitor	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Evidence\Measurement\Contract\VisitorMethodTrackingTrait	Analysis.Evidence.Measurement	contract
Qualimetrix\Analysis\Evidence\CodeSmell\ConstructorOverinjectionOptions	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Rule\Override\StandardOverrideValidatorTrait	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\ConstructorOverinjectionOptions	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Rule\RuleOptionKey	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\ConstructorOverinjectionOptions	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Rule\RuleOptionKeySet	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\ConstructorOverinjectionOptions	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Rule\RuleOptionShape	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\ConstructorOverinjectionOptions	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Rule\RuleOptionsInterface	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\ConstructorOverinjectionOptions	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Rule\ThresholdAwareOptionsInterface	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\ConstructorOverinjectionOptions	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Rule\ThresholdParser	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\ConstructorOverinjectionOptions	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Severity	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\ConstructorOverinjectionRule	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Evidence\Measurement\Contract\MetricName	Analysis.Evidence.Measurement	contract
Qualimetrix\Analysis\Evidence\CodeSmell\ConstructorOverinjectionRule	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\ChannelDeclaration	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\ConstructorOverinjectionRule	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\ChannelShape	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\ConstructorOverinjectionRule	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Finding	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\ConstructorOverinjectionRule	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\JudgedMetrics	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\ConstructorOverinjectionRule	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Location	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\ConstructorOverinjectionRule	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Rule\AbstractRule	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\ConstructorOverinjectionRule	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Rule\AnalysisContext	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\ConstructorOverinjectionRule	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Rule\Attribute\CliAlias	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\ConstructorOverinjectionRule	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Severity	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\ConstructorOverinjectionRule	Analysis.Evidence.CodeSmell	Qualimetrix\Core\Observation\WorseDirection	Core.Neutral	contract
Qualimetrix\Analysis\Evidence\CodeSmell\ConstructorOverinjectionRule	Analysis.Evidence.CodeSmell	Qualimetrix\Core\Symbol\SymbolInfo	Core.Symbol	contract
Qualimetrix\Analysis\Evidence\CodeSmell\ConstructorOverinjectionRule	Analysis.Evidence.CodeSmell	Qualimetrix\Core\Symbol\SymbolLevel	Core.Symbol	contract
Qualimetrix\Analysis\Evidence\CodeSmell\DebugCodeRule	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Severity	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\EmptyCatchRule	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Severity	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\ErrorSuppressionOptions	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Rule\RuleOptionKey	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\ErrorSuppressionOptions	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Rule\RuleOptionKeySet	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\ErrorSuppressionOptions	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Rule\RuleOptionShape	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\ErrorSuppressionOptions	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Rule\RuleOptionsInterface	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\ErrorSuppressionOptions	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Severity	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\ErrorSuppressionRule	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Severity	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\EvalRule	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Severity	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\GotoRule	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Severity	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\IdenticalSubExpressionOptions	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Rule\RuleOptionKey	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\IdenticalSubExpressionOptions	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Rule\RuleOptionKeySet	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\IdenticalSubExpressionOptions	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Rule\RuleOptionShape	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\IdenticalSubExpressionOptions	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Rule\RuleOptionsInterface	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\IdenticalSubExpressionOptions	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Severity	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\IdenticalSubExpressionRule	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\ChannelDeclaration	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\IdenticalSubExpressionRule	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\ChannelShape	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\IdenticalSubExpressionRule	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Finding	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\IdenticalSubExpressionRule	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Location	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\IdenticalSubExpressionRule	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\OccurrenceKey	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\IdenticalSubExpressionRule	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Rule\AbstractRule	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\IdenticalSubExpressionRule	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Rule\AnalysisContext	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\IdenticalSubExpressionRule	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Severity	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\IdenticalSubExpressionRule	Analysis.Evidence.CodeSmell	Qualimetrix\Core\Symbol\MetricSubjectCodec	Core.Symbol	contract
Qualimetrix\Analysis\Evidence\CodeSmell\IdenticalSubExpressionRule	Analysis.Evidence.CodeSmell	Qualimetrix\Core\Symbol\SymbolLevel	Core.Symbol	contract
Qualimetrix\Analysis\Evidence\CodeSmell\LongParameterListOptions	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Rule\NoConfiguredBoundary	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\LongParameterListOptions	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Rule\Override\StandardOverrideValidatorTrait	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\LongParameterListOptions	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Rule\RuleOptionKey	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\LongParameterListOptions	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Rule\RuleOptionKeySet	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\LongParameterListOptions	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Rule\RuleOptionShape	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\LongParameterListOptions	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Rule\RuleOptionsInterface	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\LongParameterListOptions	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Rule\ThresholdAwareOptionsInterface	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\LongParameterListOptions	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Rule\ThresholdParser	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\LongParameterListOptions	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Severity	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\LongParameterListRule	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Evidence\Measurement\Contract\MetricName	Analysis.Evidence.Measurement	contract
Qualimetrix\Analysis\Evidence\CodeSmell\LongParameterListRule	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\ChannelDeclaration	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\LongParameterListRule	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\ChannelShape	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\LongParameterListRule	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Finding	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\LongParameterListRule	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\JudgedMetrics	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\LongParameterListRule	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Location	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\LongParameterListRule	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Rule\AbstractRule	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\LongParameterListRule	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Rule\AnalysisContext	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\LongParameterListRule	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Rule\Attribute\CliAlias	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\LongParameterListRule	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Finding\Contract\Severity	Analysis.Finding	contract
Qualimetrix\Analysis\Evidence\CodeSmell\LongParameterListRule	Analysis.Evidence.CodeSmell	Qualimetrix\Core\Observation\WorseDirection	Core.Neutral	contract
Qualimetrix\Analysis\Evidence\CodeSmell\LongParameterListRule	Analysis.Evidence.CodeSmell	Qualimetrix\Core\Symbol\MetricSubject	Core.Symbol	contract
Qualimetrix\Analysis\Evidence\CodeSmell\LongParameterListRule	Analysis.Evidence.CodeSmell	Qualimetrix\Core\Symbol\SymbolInfo	Core.Symbol	contract
Qualimetrix\Analysis\Evidence\CodeSmell\LongParameterListRule	Analysis.Evidence.CodeSmell	Qualimetrix\Core\Symbol\SymbolLevel	Core.Symbol	contract
Qualimetrix\Analysis\Evidence\CodeSmell\LongParameterListRule	Analysis.Evidence.CodeSmell	Qualimetrix\Core\Symbol\SymbolType	Core.Symbol	contract
Qualimetrix\Analysis\Evidence\CodeSmell\ParameterCountCollector	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Evidence\Measurement\Contract\AbstractCollector	Analysis.Evidence.Measurement	contract
Qualimetrix\Analysis\Evidence\CodeSmell\ParameterCountCollector	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Evidence\Measurement\Contract\AggregationStrategy	Analysis.Evidence.Measurement	contract
Qualimetrix\Analysis\Evidence\CodeSmell\ParameterCountCollector	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Evidence\Measurement\Contract\CallableMetricsProviderInterface	Analysis.Evidence.Measurement	contract
Qualimetrix\Analysis\Evidence\CodeSmell\ParameterCountCollector	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Evidence\Measurement\Contract\MetricBag	Analysis.Evidence.Measurement	contract
Qualimetrix\Analysis\Evidence\CodeSmell\ParameterCountCollector	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Evidence\Measurement\Contract\MetricDefinition	Analysis.Evidence.Measurement	contract
Qualimetrix\Analysis\Evidence\CodeSmell\ParameterCountCollector	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Evidence\Measurement\Contract\MetricName	Analysis.Evidence.Measurement	contract
Qualimetrix\Analysis\Evidence\CodeSmell\ParameterCountCollector	Analysis.Evidence.CodeSmell	Qualimetrix\Core\Path\RelativePath	Core.Path	contract
Qualimetrix\Analysis\Evidence\CodeSmell\ParameterCountCollector	Analysis.Evidence.CodeSmell	Qualimetrix\Core\Symbol\SymbolLevel	Core.Symbol	contract
Qualimetrix\Analysis\Evidence\CodeSmell\ParameterCountVisitor	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Evidence\Measurement\Contract\DeclarationIndexAwareInterface	Analysis.Evidence.Measurement	contract
Qualimetrix\Analysis\Evidence\CodeSmell\ParameterCountVisitor	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Evidence\Measurement\Contract\MetricBag	Analysis.Evidence.Measurement	contract
Qualimetrix\Analysis\Evidence\CodeSmell\ParameterCountVisitor	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Evidence\Measurement\Contract\MetricName	Analysis.Evidence.Measurement	contract
Qualimetrix\Analysis\Evidence\CodeSmell\ParameterCountVisitor	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Evidence\Measurement\Contract\ResettableVisitorInterface	Analysis.Evidence.Measurement	contract
Qualimetrix\Analysis\Evidence\CodeSmell\ParameterCountVisitor	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Evidence\Measurement\Contract\VisitorMethodTrackingTrait	Analysis.Evidence.Measurement	contract
Qualimetrix\Analysis\Evidence\CodeSmell\ParameterCountVisitor	Analysis.Evidence.CodeSmell	Qualimetrix\Core\Path\RelativePath	Core.Path	contract
Qualimetrix\Analysis\Evidence\CodeSmell\RepeatedExpression\IdenticalSubExpressionCollector	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Evidence\Measurement\Contract\AbstractCollector	Analysis.Evidence.Measurement	contract
Qualimetrix\Analysis\Evidence\CodeSmell\RepeatedExpression\IdenticalSubExpressionCollector	Analysis.Evidence.CodeSmell	Qualimetrix\Analysis\Evidence\Measurement\Contract\MetricBag	Analysis.Evidence.Measurement	contract
