path	fqcn	kind	proposed_owner	proposed_status	consumers
src/Analysis/Configuration/Contract/Refusal/RefusedPosition.php	Qualimetrix\Analysis\Configuration\Contract\Refusal\RefusedPosition	class	Analysis.Configuration	contract	"[{""owner"":""Analysis.Evidence.ComputedMetrics"",""source_fqcn"":""Qualimetrix\\Analysis\\Evidence\\ComputedMetrics\\ComputedMetricFormulaValidator""},{""owner"":""Analysis.Evidence.ComputedMetrics"",""source_fqcn"":""Qualimetrix\\Analysis\\Evidence\\ComputedMetrics\\ComputedMetricOverrideReader""},{""owner"":""Analysis.Evidence.ComputedMetrics"",""source_fqcn"":""Qualimetrix\\Analysis\\Evidence\\ComputedMetrics\\ComputedMetricsConfigResolver""},{""owner"":""Analysis.Evidence.ComputedMetrics"",""source_fqcn"":""Qualimetrix\\Analysis\\Evidence\\ComputedMetrics\\Configuration\\ComputedMetricContributionReader""},{""owner"":""Analysis.Evidence.ComputedMetrics"",""source_fqcn"":""Qualimetrix\\Analysis\\Evidence\\ComputedMetrics\\Configuration\\ComputedMetricEntryKeyRecognition""},{""owner"":""Analysis.Evidence.ComputedMetrics.Health"",""source_fqcn"":""Qualimetrix\\Analysis\\Evidence\\ComputedMetrics\\Health\\Configuration\\HealthFormulaExcluder""},{""owner"":""Analysis.Evidence.Coupling"",""source_fqcn"":""Qualimetrix\\Analysis\\Evidence\\Coupling\\ClassCboOptions""},{""owner"":""Analysis.Evidence.Coupling"",""source_fqcn"":""Qualimetrix\\Analysis\\Evidence\\Coupling\\CouplingAnalysis""},{""owner"":""Analysis.Evidence.Coupling"",""source_fqcn"":""Qualimetrix\\Analysis\\Evidence\\Coupling\\DistanceOptions""},{""owner"":""Analysis.Finding"",""source_fqcn"":""Qualimetrix\\Analysis\\Finding\\Contract\\Rule\\ThresholdParser""},{""owner"":""Analysis.Finding"",""source_fqcn"":""Qualimetrix\\Analysis\\Finding\\RuleConfiguration\\RuleOptionKeyRecognition""},{""owner"":""Analysis.Finding"",""source_fqcn"":""Qualimetrix\\Analysis\\Finding\\RuleConfiguration\\RuleSuppressionSelectorDecoder""},{""owner"":""Analysis.Policy.Architecture"",""source_fqcn"":""Qualimetrix\\Analysis\\Policy\\Architecture\\Configuration\\AllowValidator""},{""owner"":""Analysis.Policy.Architecture"",""source_fqcn"":""Qualimetrix\\Analysis\\Policy\\Architecture\\Configuration\\Allow\\AllowAliasExpander""},{""owner"":""Analysis.Policy.Architecture"",""source_fqcn"":""Qualimetrix\\Analysis\\Policy\\Architecture\\Configuration\\ArchitectureConfigurationFactory""},{""owner"":""Analysis.Policy.Architecture"",""source_fqcn"":""Qualimetrix\\Analysis\\Policy\\Architecture\\Configuration\\CoverageValidator""},{""owner"":""Analysis.Policy.Architecture"",""source_fqcn"":""Qualimetrix\\Analysis\\Policy\\Architecture\\Configuration\\DuplicatePatternRejector""},{""owner"":""Analysis.Policy.Architecture"",""source_fqcn"":""Qualimetrix\\Analysis\\Policy\\Architecture\\Configuration\\ExcludeBlockValidator""},{""owner"":""Analysis.Policy.Architecture"",""source_fqcn"":""Qualimetrix\\Analysis\\Policy\\Architecture\\Configuration\\LayerCriterionNormalizer""},{""owner"":""Analysis.Policy.Architecture"",""source_fqcn"":""Qualimetrix\\Analysis\\Policy\\Architecture\\Configuration\\LayersValidator""},{""owner"":""Analysis.Policy.Architecture"",""source_fqcn"":""Qualimetrix\\Analysis\\Policy\\Architecture\\Configuration\\LongFormAllowEntryNormalizer""},{""owner"":""Analysis.Policy.Architecture"",""source_fqcn"":""Qualimetrix\\Analysis\\Policy\\Architecture\\LayerViolation\\LayerViolationOptions""},{""owner"":""Analysis.Policy.Architecture"",""source_fqcn"":""Qualimetrix\\Analysis\\Policy\\Architecture\\LayerViolation\\UnassignedClassOptions""},{""owner"":""Analysis.Policy.Architecture"",""source_fqcn"":""Qualimetrix\\Analysis\\Policy\\Architecture\\Layer\\Expansion\\LayerExpansionStage""},{""owner"":""Analysis.Policy.Architecture"",""source_fqcn"":""Qualimetrix\\Analysis\\Policy\\Architecture\\Layer\\Expansion\\LayerInstantiator""},{""owner"":""Analysis.Policy.Inline"",""source_fqcn"":""Qualimetrix\\Analysis\\Policy\\Inline\\Directive\\InlineDirectiveOptions""}]"
src/Analysis/Configuration/Discovery/ComposerReader.php	Qualimetrix\Analysis\Configuration\Discovery\ComposerReader	class	Analysis.Configuration	internal	[]
src/Analysis/Configuration/Loader/ConfigLoaderInterface.php	Qualimetrix\Analysis\Configuration\Loader\ConfigLoaderInterface	interface	Analysis.Configuration	internal	[]
src/Analysis/Configuration/Loader/RootContainerShapes.php	Qualimetrix\Analysis\Configuration\Loader\RootContainerShapes	class	Analysis.Configuration	internal	[]
src/Analysis/Configuration/Loader/SectionNormalizationPolicy.php	Qualimetrix\Analysis\Configuration\Loader\SectionNormalizationPolicy	enum	Analysis.Configuration	internal	[]
src/Analysis/Configuration/Loader/YamlConfigLoader.php	Qualimetrix\Analysis\Configuration\Loader\YamlConfigLoader	class	Analysis.Configuration	internal	[]
src/Analysis/Configuration/Pipeline/ConfigDataNormalizer.php	Qualimetrix\Analysis\Configuration\Pipeline\ConfigDataNormalizer	class	Analysis.Configuration	internal	[]
src/Analysis/Configuration/Pipeline/ConfigurationLayer.php	Qualimetrix\Analysis\Configuration\Pipeline\ConfigurationLayer	class	Analysis.Configuration	internal	[]
src/Analysis/Configuration/Pipeline/ConfigurationMerger.php	Qualimetrix\Analysis\Configuration\Pipeline\ConfigurationMerger	class	Analysis.Configuration	internal	[]
src/Analysis/Configuration/Pipeline/ConfigurationPipeline.php	Qualimetrix\Analysis\Configuration\Pipeline\ConfigurationPipeline	class	Analysis.Configuration	internal	[]
